 120Z HOT CAPPUCCINO,12OZ HOT CAPPUCCINO
 PRIDE BURGER,PRIDE BURGER
12 OZ  HOT WHITE MOCHA,12 OZ  HOT WHITE MOCHA
12 OZ HOT CARAMEL MACCHIATO,12 OZ HOT CARAMEL MACCHIATO
12 OZ HOT LATTE,12 OZ HOT LATTE
12OZ HOT AMERICANO,12OZ HOT AMERICANO
12OZ HOT CAPPUCCINO,12OZ HOT CAPPUCCINO
12OZ HOT DOUBLE CARAMEL,12OZ HOT DOUBLE CARAMEL
12OZ HOT LATTE,12OZ HOT LATTE
12OZ HOT MATCHA,12OZ HOT MATCHA
12OZ HOT MILK,12OZ HOT MILK
12OZ HOT MOCHA,12OZ HOT MOCHA
12OZ HOT SPANISH LATTE,12OZ HOT SPANISH LATTE
12OZ HOT WHITE MOCHA,12OZ HOT WHITE MOCHA
160Z JAVA CHIP FRAPPE,160Z JAVA CHIP FRAPPE
160Z MATCHA FRAPPE,160Z MATCHA FRAPPE
160Z VANILLA COFFEE FRAPPE,160Z VANILLA COFFEE FRAPPE
16OZ CARAMEL MACCHIATO,16OZ CARAMEL MACCHIATO
16OZ ICED AMERICANO,16OZ ICED AMERICANO
16OZ ICED DOUBLE CARAMEL,16OZ ICED DOUBLE CARAMEL
16OZ ICED MOCHA,16OZ ICED MOCHA
16OZ ICED SPANISH LATTE,16OZ ICED SPANISH LATTE
16OZ ICED WHITE MOCHA,16OZ ICED WHITE MOCHA
16OZ JAVA CHIP FRAPPE,16OZ JAVA CHIP FRAPPE
16OZ MATCHA FRAPPE,16OZ MATCHA FRAPPE
16OZ MOCHA FRAPPE,16OZ MOCHA FRAPPE
16OZ VANILLA COFFEE FRAPPE,16OZ VANILLA COFFEE FRAPPE
16OZ WHITE CHOCOLATE CHIP FRAPPE,16OZ WHITE CHOCOLATE CHIP FRAPPE
1CAJCHX SPAG PBRD CNC IT,1CAJCHX SPG PBRD CNC IT
1CAJCHX SPG PBRD CNC I,1CAJCHX SPG PBRD CNC IT
1CAJCHX SPG PBRD CNC IT,1CAJCHX SPG PBRD CNC IT
1CAJCHX SPGPBRD CNC IT,1CAJCHX SPG PBRD CNC IT
1PC BIGG CAJUN CHICKEN,1PC BIGG CAJUN CHICKEN
1PC BIGG CHICKEN,1PC BIGG CHICKEN
2PC BIGG CAJUN CHICKEN,2PC BIGG CAJUN CHICKEN
2PC BIGG CHICKEN,2PC BIGG CHICKEN
50%OFF TUNA SALP,50%OFF TUNA SALPICAO
50%OFF TUNA SALPICAO,50%OFF TUNA SALPICAO
50-%OFF TUNA SALPICAO,50%OFF TUNA SALPICAO
6PCS CHICKEN IN A BOX,CHICKEN IN A BOX (6)
7UP,7UP
8 0Z HOT CARAMEL MACCHIATO,8 0Z HOT CARAMEL MACCHIATO
8 OZ HOT LATTE,8 OZ HOT LATTE
8 OZ HOT SPANISH LATTE,8 OZ HOT SPANISH LATTE
8OZ HOT AMERICANO,8OZ HOT AMERICANO
8OZ HOT CAPPUCCINO,8OZ HOT CAPPUCCINO
8OZ HOT DOUBLE CARAMEL,8OZ HOT DOUBLE CARAMEL
8OZ HOT LATTE,8OZ HOT LATTE
8OZ HOT MATCHA,8OZ HOT MATCHA
8OZ HOT MILK,8OZ HOT MILK
8OZ HOT MOCHA,8OZ HOT MOCHA
8OZ HOT SPANISH LATTE,8OZ HOT SPANISH LATTE
8OZ HOT WHITE MOCHA,8OZ HOT WHITE MOCHA
AMERICAN SLAM,AMERICAN SLAM
BABY BACK RIBS,BABY BACK RIBS
BABY BACK RIBS W SMOKED CHICKEN,RIBS & SMOKED CHICKEN
BACMAC AND CHEESE,BACON MAC AND CHEESE
BACMACHIZ,BACON MAC AND CHEESE
BACOM MACNCHEESE W CHX,BACON MAC N CHEESE W CHICKEN
BACON BURG,BACON CHEESY BURGER
BACON BURGER,BACON CHEESY BURGER
BACON CHEESY BURGER,BACON CHEESY BURGER
BACON MAC AND CHEESE,BACON MAC AND CHEESE
BACON MAC N CHEESE,BACON MAC AND CHEESE
BACON MAC N CHEESSE,BACON MAC AND CHEESE
BACON MACNCHEESE W CHICK,BACON MAC N CHEESE W CHICKEN
BACON MACNCHEESE W CHICKEN,BACON MAC N CHEESE W CHICKEN
BACON MACNCHEESE W CHIX,BACON MAC N CHEESE W CHICKEN
BACON MACNCHZ W CHICKEN,BACON MAC N CHEESE W CHICKEN
BACON MC CHX,BACON MAC N CHEESE W CHICKEN
BB ALMOND BRTL IC,BB ALMOND BRTL IC
BCB,BACON CHEESY BURGERf
BEEF SALPICAO,BEEF SALPICAO
BEEF TAPA,BEEF TAPA
BERRIES CAKE,BERRIES CHEESE CAKE
BERRIES CHEESE CAKE,BERRIES CHEESE CAKE
BFSTBUNDLE,BREAKFAST BUNDLE
BFSTBUNDLEB,BREAKFAST BUNDLE
BICOL SPECIAL,BICOL SPECIAL
BIGG DEAL,BIGG DEAL
BIGG DEALCHICKEN,BIGG DEAL
BIGGS CAJUN CHICKEN 2PCS,2PC BIGG CAJUN CHICKEN
BIGGS CARBONARA,CARBONARA
BIGGS FRIED CHICKEN 2PCS,2PC BIGG CHICKEN
BIGGS SPAG,SPAGHETTI
BIGGS SPAGHETTI,SPAGHETTI
BIGGS SPAGHETTI PAN,SPAGHETTI PAN
BMC CHICKEN,BACON MAC N CHEESE W CHICKEN
BOTTLED WATER,BOTTLED WATER
BRAZ COFFEE IC,BRAZ COFFEE IC
BREWED COFFEE,BREWED COFFEE
BREWED COFI,BREWED COFFEE
BREWED FLOWING,BREWED COFFEE
BT MAC,BIG TREAT MACARONI
BUDDY'S CHOICE,BUDDY'S CHOICE
BUDDYS CHOICE,BUDDY'S CHOICE
BUFFALO PLATTER,BUFFALO PLATTER
BUFFALO SOLO,BUFFALO SOLO
BUTTER PECAN IC,BUTTER PECAN IC
C ALMOND FUDGE IC,C ALMOND FUDGE IC
CALIFORNIA TUNA SANDWICH,CALIFORNIA TUNA SANDWICH
CARA MACHIATO,ICED CARAMEL MACCHIATO
CARA MACHIATTO,ICED CARAMEL MACCHIATO
CARAMACHI,ICED CARAMEL MACCHIATO
CARAMACHIATO,ICED CARAMEL MACCHIATO
CARAMEL COFFEE FRAPPE,CARAMEL COFFEE FRAPPE
CARAMEL CREAM FRAPPE,CARAMEL CREAM FRAPPE
CARB N CORN SOUP,CRAB AND CORN SOUP
CARB W CHICKEN,CARBONARA W CHICKEN
CARBONARA,CARBONARA
CARBONARA PB,CARBONARA WITH PB
CARBONARA PLATTER,CARBONARA PLATTER
CARBONARA W CHICKEN P.BREAD,CARBONARA W CHICKEN AND PB
CARBONARA W PIZZA BREAD,CARBONARA WITH PB
CARROT CAKE,CARROT CAKE
CARROT SHARE,CARROT SHARE
CB SOUP,CHEESE BURGER SOUP
CCB,CHEESY BACON
CHEESE B SOUP,CHEESE BURGER SOUP
CHEESE BURGER SOUP,CHEESE BURGER SOUP
CHEESESOUP,CHEESE BURGER SOUP
CHEESESOUP59,CHEESE BURGER SOUP
CHEESY BACON,CHEESY BACON
CHEESY BURG,CHEESY BACON
CHEESY BURGER,CHEESY BURGER
CHEESY BURGER SOUP,CHEESE BURGER SOUP
CHESE BURG SOUP,CHEESE BURGER SOUP
CHICKEN,1PC CHICKEN
CHICKEN AND KEBAB MEAL,CHICKEN AND KEBAB MEAL
CHICKEN BARBEQUE,CHICKEN AND KEBAB MEAL
CHICKEN BURGER,CHICKEN BURGER
CHICKEN BURGER SOUP,CHICKEN BURGER SOUP
CHICKEN CAJUN,1PC CHICKEN CAJUN
CHICKEN CORDON BLEU,CHICKEN CORDON BLEU
CHICKEN IN A BOX (6),CHICKEN IN A BOX (6)
CHICKEN IN A BOX (8),CHICKEN IN A BOX (8)
CHICKEN SALISBURY STEAK,CHICKEN SALISBURY STEAK
CHICKEN TOMATO SUP,CHICKEN TOMATO SOUP
CHICKENSOUP,CHICKEN TOMATO SOUP
CHICKENSOUP59,CHICKEN TOMATO SOUP
CHKN-KEBAB,CHICKEN AND KEBAB MEAL
CHOWDER CRAB AND CORN SOUP,CRAB AND CORN SOUP
CLASSBRGR,CLASSIC BURGER
CNC SHAKE,COOKIES AND CREAM SHAKE
COFFEE,COFFEE
COFFEE FRAPPE,COFFEE FRAPPE
COFFEE VANILLA SHAKE,COFFEE VANILLA SHAKE
COKE,COKE
COKE SAKTO,COKE
CONCORD CAKE,CONCORD CAKE
COOKIE DOUGH IC,COOKIE DOUGH IC
COOKIES DOUGH IC,COOKIE DOUGH IC
COOKIES N CREAM SHAKE,COOKIES AND CREAM SHAKE
COOKIES N` CREAM MILK TEA,COOKIES N` CREAM MILK TEA
COUNTRY BREAKFAST,COUNTRY BREAKFAST
CRAB N CORN SOUP,CRAB AND CORN SOUP
CRABSOUP,CRAB AND CORN SOUP
CRABSOUP59,CRAB AND CORN SOUP
CRABSOUP69,CRAB AND CORN SOUP
CREAMY MACARONI SALAD,CREAMY MACARONI SALAD
DAING NA BANGUS,DAING NA BANGUS
DAING NA BANGUS W EGG,DAING NA BANGUS W EGG
DARK CHOCO IC,DARK CHOCO IC
DECAF,DECAF
EL VANILLA IC,EL VANILLA IC
"EXTE SUP""E""",EXTREME SUPREME BURGER
EXTREME BURGER,EXTREME BURGER
EXTREME PLATTER,EXTREME PLATTER
EXTREME REUBEN BURGER,EXTREME REUBEN BURGER
EXTREME SUPREME BURGER,EXTREME SUPREME BURGER
EXT``E SUP``E,EXTREME SUPREME BURGER
FARMERS DELIGHT,FARMERS DELIGHT
FRANKS N EGG,FRANKS N EGG
FRENCH ONION SOUP,FRENCH ONION SOUP
GO  MAC SALAD,GO MAC SALAD
GO BACON MAC,GO BACON MAC AND CHEESE
GO BEEF SLPCAO,GO BEEF SLPCAO
GO BIGG BEEF TAPA,GO BIGG BEEF TAPA
GO BIGG TOCILOG,GO BIGG TOCILOG
GO BMC CHKN,GO BACON MAC N CHEESE W CHICKEN
GO BT MAC,GO BIG TREAT MACARONI
GO BTMAC,GO BIG TREAT MACARONI
GO CARB P BREAD,GO CARBONARA WITH PB
GO CARBO,GO CARBONARA
GO CARBO CHICKEN,GO CARBONARA W CHICKEN
GO CARBO P BREAD,GO CARBONARA WITH PB
GO CARBO PLATTER,GO CARBONARA PLATTER
GO DT,GO DOUBLE TREAT
GO MAC SALAD,GO MAC SALAD
GO MEAT,GO MEAT
GO PASTA,GO PASTA
GO SPAG,GO SPAGHETTI
GO SPAG P BREAD,GO SPAGHETTI WITH PB
GO SPAG PLATTER,GO SPAGHETTI PLATTER
GO TAPA,GO BIGG BEEF TAPA
GO TIPS,GO TIPS
GO TOCI,GO BIGG TOCILOG
GO TOCILOG,GO BIGG TOCILOG
GO TUNA SANDWICH,GO TUNA SANDWICH
GO TUNA SLPCAO,GO TUNA SLPCAO
GOTO,GOTO
GOTO W EEG,GOTO W EEG
GOTO W EGG,GOTO W EEG
GOTO W EGG TB,GOTO W EGG TB
"GOTO W EGG,TB",GOTO W EGG TB
GOTO W TB,GOTO W TB
GRAHAM SHAKE,MANGO GRAHAM SHAKE
H NOT WORTH IC,H NOT WORTH IT
H NOT WORTH IT,H NOT WORTH IT
HALF PJ,PINEAPPLE JUICE
HAPPY & FIT,HAPPY & FIT
HOT AMERICANO 12 OZ,HOT AMERICANO 12 OZ
HOT AMERICANO 8 0Z,HOT AMERICANO 8 0Z
HOT CHOCO,HOT CHOCO
HOT CHOCO	,HOT CHOCO
HOT MOCHA 12 OZ,HOT MOCHA 12 OZ
HOTCHOCO,"HOT CHOCO	"
ICED AMERICANO,ICED AMERICANO
ICED CARAMEL MACCHIATO,ICED CARAMEL MACCHIATO
ICED LATTE,ICED LATTE
ICED MATCHA,ICED MATCHA
ICED MILK,ICED MILK
ICED MOCHA,ICED MOCHA
ICED SPANISH LATTE,ICED SPANISH LATTE
ICED SWEET BLACK,ICED SWEET BLACK
ICED WHITE MOCHA,ICED WHITE MOCHA
ICEDTEA(1 2 DRINK),ICEDTEA(1 2 DRINK)
ITALIAN SPAGHETTI,SPAGHETTI
ITALIAN SPAGHETTI W PIZZA BREAD,SPAGHETTI WITH PB
KOREAN SPARE RIBS,KOREAN SPARE RIBS
LENT TGG STEAK,TANGIGUE STEAK
LENT TUNA SALP,TUNA SALPICAO
LENT TUNA SALPICAO,TUNA SALPICAO
LENTTGGSTEAK,TANGIGUE STEAK
LENTTUNASALPI,TUNA SALPICAO
MAC N`CHEESE 35,BACON MAC AND CHEESE
MAC SALAD  39,MACARONI SALAD
MANGO GRAHAM SHAKE,MANGO GRAHAM SHAKE
MATCHA,MATCHA
MENERAL WATER,BOTTLED WATER
MENERAL WTR,BOTTLED WATER
MILK,MILK
MINERAL WTR,BOTTLED WATER
MINIRAL WATER,BOTTLED WATER
MIRINDA,MIRINDA
MIXED BERRIES CHEESECAKE,MIXED BERRIES CHEESECAKE
MOUNTAIN DEW,MOUNTAIN DEW
MUG ROOTBEER,MUG ROOTBEER
MUSHROOM RICE BOEL,MUSHROOM RICE BOWL
NENA'S HARVEST,NENA'S HARVEST
NES BREWED COFFEE,NESPRESSO COFFEE
NES BREWED COFI,NESPRESSO COFFEE
NES-BREWED COFFE,NESPRESSO COFFEE
NESPRESSO,NESPRESSO COFFEE
NESPRESSO DECAF,NESPRESSO COFFEE
ONION EGG DROP SOUP,ONION EGG DROP SOUP
ORIENTAL SALAD,ORIENTAL SALAD
ORNTAL SALAD,ORIENTAL SALAD
PEPSI,PEPSI
PEPSI BLACK,PEPSI BLACK
PEPSI BLUE,PEPSI BLUE
PEPSI IN GLASS,PEPSI
PEPSI LARGE,PEPSI
PEPSI LIME,PEPSI LIME
PINEAPPLE CARROT SHAKE,PINEAPPLE CARROT SHAKE
PINEAPPLE JUICE,PINEAPPLE JUICE
PINEAPPLE JUICE IN CAN,PINEAPPLE JUICE
PORK CONDON BLUE,PORK CORDON BLEU
PORK CORDON BLEU,PORK CORDON BLEU
PORK KEBAB W JAVA RICE,PORK KEBAB W JAVA RICE
PRIDE BUNDLE,PRIDE BURGER
PRIDE BURGER,PRIDE BURGER
PRIDEBRG PJ,PRIDE BURGER
PSYCHO SHARE,PSYCHO SHARE
PSYCHOCOLATE CAKE,PSYCHOCOLATE CAKE
PSYCHOCOLATE SHARING,PSYCHOCOLATE SHARING
R&B ICED TEA,R&B ICED TEA
RIBS & SMOKED CHICKEN,RIBS & SMOKED CHICKEN
RIBS N SMOKED CHIX,RIBS & SMOKED CHICKEN
RIBS SMOKED CHK,RIBS & SMOKED CHICKEN
RIPE MANGO SHAKE,RIPE MANGO SHAKE
ROASTED SESAME 16,ROASTED SESAME P16
ROASTED SESAME 29,ROASTED SESAME P29
ROCK & ROLL ICED TEA,ROCK & ROLL ICED TEA
ROCKY ROAD IC,ROCKY ROAD IC
SALIS B1T1,SALISBURY STEAK
SALIS B1T1 249,SALISBURY STEAK
SALISBURY STEAK,SALISBURY STEAK
SALISBURYSTEAK,SALISBURY STEAK
SALIST1,SALISBURY STEAK
SALIST1B1,SALISBURY STEAK
SALS BUNDLE,SALISBURY STEAK
SALSBUNDLE,SALISBURY STEAK
SALTED CARA IC,SALTED CARA IC
SB 50% TUNA SALP,TUNA SALPICAO
SB 50% TUNA SALPICAO,TUNA SALPICAO
SB 50%OFF TUNA SALPICAO,TUNA SALPICAO
SB 505 TUNA SALPICAO,TUNA SALPICAO
SB BFST BUNDLE,SB BFST BUNDLE
SB BFSTBUNDLE,SB BFST BUNDLE
SB BFSTBUNLDE,SB BFST BUNDLE
SB BNDL TUNASND PJ,TUNA SALPICAO
SB BRWDCOFFEE,BREWED COFFEE
SB CLASSBRGR,CLASSIC BURGER
SB CNC40,COOKIES AND CREAM SHAKE
SB CNC59,COOKIES AND CREAM SHAKE
SB FRHOTCHOCO,HOT CHOCO
SB FRI HOTCHOCO,HOT CHOCO
SB FRIHOTCHOCO,HOT CHOCO
SB GOTO PL BAL 50%,SB GOTO PL BAL 50%
SB GOTO W EGG 49,SB GOTO W EGG 49
SB GOTO W EGG 69,SB GOTO W EGG 69
SB GOTO WEGG 49,SB GOTO W EGG 49
SB GRADRIBS50,SB GRADRIBS 50
SB MGS 99,MANGO GRAHAM SHAKE
SB NENA 49,NENA'S HARVEST
SB PJ LESS 59,PINEAPPLE JUICE
SB PRIDE BUNDLE,PRIDE BURGER
SB SALIST1,SALISBURY STEAK
SB SALS BUNDLE,SALISBURY STEAK
SB SALSBUNDLE,SALISBURY STEAK
SB SNKBUNDLE,SB SNK BUNDLE
SB SOUTH,SOUTHWESTERN SALAD
SB SPAG 50 OFF%,SPAGHETTI
SB TABGIUGUE30,TANGIGUE STEAK
SB TANGUIGUE30,TANGIGUE STEAK
SB TUNA SALP40,TUNA SALPICAO
SB TXMEX 100,KANSAS RIBS
SHRIMP PASTA,SHRIMP PASTA
SIG COFI,SIGNATURE ICED COFFEE
SIG ICED COFFE,SIGNATURE ICED COFFEE
SIG ICED COFFEE,SIGNATURE ICED COFFEE
SIG ICED COFI,SIGNATURE ICED COFFEE
SIGCOFI,SIGNATURE ICED COFFEE
SIGNATURE ICED COFFEE,SIGNATURE ICED COFFEE
SIZZLING TOFU,SIZZLING TOFU
SMOKED CHICKEN,SMOKED CHICKEN
SODA,SODA
SOUTHWEST SLD,SOUTHWESTERN SALAD
SOUTHWEST(1 2),SOUTHWESTERN SALAD
SOUTHWESTERN SALAD,SOUTHWESTERN SALAD
SPAG 50 0FF%,SPAGHETTI
SPAG 50 OFF%,SPAGHETTI
SPAG BY THE PAN,SPAGHETTI PAN
SPAG PLATTER,SPAGHETTI PLATTER
SPAGHETTI W CHICKEN,SPAGHETTI WITH CHICKEN
SPAGHETTI WITH CHICKEN,SPAGHETTI WITH CHICKEN
STRWBERY IC,STRWBERY IC
STWRBERY IC,STRWBERY IC
SWEET BLACK,SWEET BLACK
SWEETBLACK,SWEET BLACK
SWT BLK COFI,SWEET BLACK
SWTBLK,SWEET BLACK
TANGIGUE STEAK,TANGIGUE STEAK
TANGUIGUE STEAK,TANGIGUE STEAK
TAPSILOG,TAPSILOG
TB CNC 99,COOKIES AND CREAM SHAKE
TB GOTO PL 50%,SB GOTO PL BAL 50%
TB GOTO W  EGG 50,TB GOTO W  EGG 50
TB GOTO W EGG 50,TB GOTO W  EGG 50
TB MGS 99,MANGO GRAHAM SHAKE
TB PJ,PINEAPPLE JUICE
"TB PJ	",PINEAPPLE JUICE
TB SOUTH,SOUTHWESTERN SALAD
TB SOUTH 99,SOUTHWESTERN SALAD
TB SPAG 50,SPAGHETTI
TB TANGUIGUE,TANGIGUE STEAK
TB TCHIP 100OFF,CHIPOTLE RIBS
TB TEXMEX CHIPOTLE,CHIPOTLE RIBS
TB TEXMEX KANSAS,KANSAS RIBS
TB TEXMEX SWT,SWEET CAROLINE RIBS
TB TKNSS 100OFF,KANSAS RIBS
TB TSWIT 100OFF,SWEET CAROLINE RIBS
TB TUNA SALP,TUNA SALPICAO
TB TUNA SALP ,TUNA SALPICAO
TENDERLOIN TIPS,TENDERLOIN TIPS
TEXMEX CAROLINE BBQ RIBS,SWEET CAROLINE RIBS
TEXMEX CHIPOTLE BBQ RIBS,CHIPOTLE RIBS
TEXMEX KANSAS BBQ RIBS,KANSAS RIBS
TIPS SALBRY MACSLD IT,TIPS SLASBURY MACSLD IT
TIPS SALSBRY MACSLD IT,TIPS SLASBURY MACSLD IT
TIPS SALSBRY MACSLD ITY,TIPS SLASBURY MACSLD IT
TIPS SALSBRY MCSLD IT,TIPS SLASBURY MACSLD IT
TIPS SALSBURY MACSLD IT,TIPS SLASBURY MACSLD IT
TIPS SLASBURY MACSLD IT,TIPS SLASBURY MACSLD IT
TOCILOG,TOCILOG
TOKWA,TOKWA'T BABOY
TOKWA'T BABOY,TOKWA'T BABOY
TOKWA`T BABOY,TOKWA'T BABOY
TOWER BURGER,TOWER BURGER
TS COLES LAW,TS COLESLAW
TS COLESLAW,TS COLESLAW
TP MACSLD,CREAMY MACARONI SALAD
TS MAC SALAD,CREAMY MACARONI SALAD
TS MACARONI SALAD,CREAMY MACARONI SALAD
TS ORIENTAL SALAD,ORIENTAL SALAD
TUNA SALPICAO,TUNA SALPICAO
TUNA SAND  ICED TEA,TUNA SANDWICH
TUNA SANDWICH W PJ,TUNA SANDWICH
TUNASANDWICH,TUNA SANDWICH
TUNASANDWICH(1SLICE),TUNA SANDWICH
TUNASND FRYS MIN SODA,TUNA SANDWICH
TUNASND PJ,TUNA SANDWICH
TUNASNDWICH,TUNA SANDWICH
UNLIBREWED,BREWED COFFEE
UNLIBREWED 29,BREWED COFFEE
UNLIBREWED29,BREWED COFFEE
UNLICOFFEE,BREWED COFFEE
VANILLA CREAM FRAPPE,VANILLA CREAM FRAPPE
VEG MEDLEY,VEGETABLE MEDLEY
VEGETABLE MEDLEY,VEGETABLE MEDLEY
XTREME PLATTER,EXTREME PLATTER
XTREME SUPREME,EXTREME SUPREME BURGER
XTRM PLTR,EXTREME PLATTER
XTRM SUPRM,EXTREME SUPREME BURGER
YOUR  CHOICE,YOUR CHOICE
YOUR CHOICE,YOUR CHOICE
CHEESYCHX RICE BOWL,CHEESY CHIX RICE BOWL
GARLIC CHIX RICE BOWL,GARLIC CHICKEN RICE BOWL
GARLICHIX RICE BOWL,GARLIC CHICKEN RICE BOWL
ADD CHICKEN TOMATO SOUP,CHICKEN TOMATO SOUP
CHICKENSOUP,CHICKEN TOMATO SOUP
CHICKENSOUP59,CHICKEN TOMATO SOUP
FREE CHIXSOUP,CHICKEN TOMATO SOUP
FREE CTOMATO SOUP,CHICKEN TOMATO SOUP
CHICKEN BURGER SOUP,CHEESE BURGER SOUP
SB VDAYB1,VDAY B1
VDAYB1,VDAY B1
SB VDAYB2,VDAY B2
VDAYB2,VDAY B2
SB VDAYB3,VDAY B3
VDAYB3,VDAY B3
CARAMEL MACHIATO,ICED CARAMEL MACCHIATO
CARAMEL MACCHIATO,ICED CARAMEL MACCHIATO
SB SWEET BLCK,SWEET BLACK
SB SWEETBLCK,SWEET BLACK
SWEET BLACK,SWEET BLACK
SWEET BLCK,SWEET BLACK
CHICKEN SALISBURY,CHICKEN SALISBURY STEAK
CHICKEN SALIS,CHICKEN SALISBURY STEAK
CHICKEN SALIS BURY STEAK,CHICKEN SALISBURY STEAK
MACARONI SALAD,CREAMY MACARONI SALAD
SPAGHETTI WITH CHICKEN,SPAG W CHICKEN
SPAGHETTI W CHICKEN,SPAG W CHICKEN
SPAG W CHICKEN,SPAG W CHICKEN
CARBO W CHKN,CARBONARA W CHICKEN
CARB W CHKN,CARBONARA W CHICKEN
CARB W CHICKEN,CARBONARA W CHICKEN
CARBONARA W PIZZA BREAD,CARBONARA WITH PB
CARBONARA W PB,CARBONARA WITH PB
CAJUN 1PC,1PC BIGG CAJUN CHICKEN
SPAG W PIZZA BREAD,SPAGHETTI WITH PB
CRAB N CORN,CRAB AND CORN SOUP
BERRIES CHEESE CAKE,BERRIES CHEESECAKE